	course_code	course_title	offering_unit
8619	Psych 105	Introduction to Research in Psychology	Psych
8620	Psych 108	Sikolohiyang Pilipino	Psych
8621	Psych 110	Statistics in Psychology	Psych
8622	Psych 115	Experimental Research in Psychology	Psych
8623	Psych 118	Field Research Methods in Psychology	Psych
8624	Psych 124	Introduction to Industrial/Organizational Psychology	Psych
8625	Psych 135	Perception	Psych
8626	Psych 135	Perception	Psych
8627	Psych 139	Ethology	Psych
8628	Psych 140	Principles of Learning	Psych
8629	Psych 145	Psychology of Language	Psych
8630	Psych 148	Cognitive Psychology	Psych
8631	Psych 150	Theories of Personality	Psych
8632	Psych 153	Motivation and Emotion	Psych
8633	Psych 155	Abnormal Psychology	Psych
8634	Psych 160	Biological Psychology	Psych
8635	Psych 162	Psychological Assessment I	Psych
8636	Psych 163	Psychological Assessment II	Psych
8637	Psych 170	Developmental Psychology	Psych
8638	Psych 171	Child Psychology	Psych
8639	Psych 180	Social Psychology	Psych
8640	Psych 191	Readings in Psychology	Psych
8641	Psych 195	Special Topics in Psychology	Psych
8642	Psych 198	Practicum in Psychology	Psych
8643	Psych 199	Research in Psychology	Psych
8644	Psych 201	Personality Theories and Abnormal Psychology	Psych
8645	Psych 202	Special Topics in Psychology	Psych
8646	Psych 203	Quantitative Research in Psychology	Psych
8647	Psych 204	Qualitative Research in Psychology	Psych
8648	Psych 205	Perspectives in Sikolohiyang Pilipino	Psych
8649	Psych 206	Development of Psychological Thought	Psych
8650	Psych 207	Basic Course in Psychological Statistics	Psych
8651	Psych 208	Research Practice in Psychology	Psych
8652	Psych 209	Psychological Measurement	Psych
8653	Psych 210	Experimental Designs in Psychology	Psych
8654	Psych 212	Multivariate Statistical Methods	Psych
8655	Psych 220	Research Methodology: Issues and Problems	Psych
8656	Psych 221	Mga Metodong Panlarangan sa Sikolohiya	Psych
8657	Psych 223	Analysis of Categorical Data	Psych
8658	Psych 224	Industrial-Organizational Psychology	Psych
8659	Psych 225	Human Resources Management and Development Systems	Psych
8660	Psych 226	Organizational Assessment and Development	Psych
8661	Psych 231	Special Topics in Experimental Psychology	Psych
8662	Psych 235	Instrumentation in Psychology	Psych
8663	Psych 236	Seminar in Physiological Psychology	Psych
8664	Psych 238	Seminar in Psychopharmacology	Psych
8665	Psych 240	Seminar in Behavior Analysis	Psych
8666	Psych 245	Seminar in the Psychology of Language	Psych
8667	Psych 247	Experimental and Clinical Hypnosis	Psych
8668	Psych 248	Behavior Therapies	Psych
8669	Psych 249	Cognitive-Behavior Therapies	Psych
8670	Psych 250	Seminar in Personality	Psych
8671	Psych 251	Special Topics in Personality	Psych
8672	Psych 252	Advanced Theories of Personality	Psych
8673	Psych 253	Motivation	Psych
8674	Psych 259	The Filipino Personality	Psych
8675	Psych 260	Seminar in Clinical Psychology	Psych
8676	Psych 261	Special Topics in Clinical Psychology	Psych
8677	Psych 263	Projective Techniques	Psych
8678	Psych 264	Psychopathology	Psych
8679	Psych 265	Psychotherapy	Psych
8680	Psych 266	Clinical Psychological Interview	Psych
8681	Psych 267	Clinical Psychological Assessment	Psych
8682	Psych 268	Introduction to Clinical Neuropsychology	Psych
8683	Psych 270	Seminar in Child Psychology	Psych
8684	Psych 271	Special Topics in Developmental Psychology	Psych
8685	Psych 272	Theories in Developmental Psychology	Psych
8686	Psych 273	Research Methods in Developmental Psychology	Psych
8687	Psych 274	Cognitive Development	Psych
8688	Psych 275	Development of Language and Communication	Psych
8689	Psych 276	Social, Emotional and Personality Development	Psych
8690	Psych 277	Psychological Assessment I: The Infant and the Child	Psych
8691	Psych 278	Psychological Assessment II: The Adolescent, the Adult and the Elderly	Psych
8692	Psych 279	The Filipino Child	Psych
8693	Psych 280	Seminar in Social Psychology	Psych
8694	Psych 281	Special Topics in Social Psychology	Psych
8695	Psych 282	Theories in Social Psychology	Psych
8696	Psych 283	Group Processes/Theories of Group Behavior	Psych
8697	Psych 284	Social Attitude Theories	Psych
8698	Psych 285	Social Attitude Measurement	Psych
8699	Psych 286	Seminar in Applied Social Psychology	Psych
8700	Psych 287	Survey Methodology	Psych
8701	Psych 291	Readings in Psychology	Psych
8702	Psych 296	The Teaching of Psychology	Psych
8703	Psych 298	Graduate Practicum in Psychology	Psych
8704	Psych 298.1	Practicum in Industrial-Organizational Psychology	Psych
8705	Psych 298.2	Practicum in Developmental Psychology	Psych
8706	Psych 298.3	Practicum in Clinical Psychology	Psych
8707	Psych 299	Research in Psychology	Psych
8708	Psych 300	Master's Thesis	Psych
8709	Psych 303	Advanced Topics in Psychology	Psych
8710	Psych 305	Advanced Topics in Sikolohiyang Pilipino	Psych
8711	Psych 308	Philippine Psychology	Psych
8712	Psych 317	Culture and Psychology	Psych
8713	Psych 330	Advanced Topics in Experimental Psychology	Psych
8714	Psych 337	Psychophysiology	Psych
8715	Psych 340	Seminar in Behavior Modification/Behavior Therapy	Psych
8716	Psych 341	Seminar in Learning	Psych
8717	Psych 351	Methods in the Study of Individual Persons	Psych
8718	Psych 362	Clinical Psychological Assessment of Cognition and Personality	Psych
8719	Psych 363	Projectives I	Psych
8720	Psych 364	Projectives II	Psych
8721	Psych 365	Neuropsychological Assessment	Psych
8722	Psych 366	Group Therapy	Psych
8723	Psych 367	Family Therapy	Psych
8724	Psych 370	Advanced Topics in Developmental Psychology	Psych
8725	Psych 371	Development in Infancy and Childhood	Psych
8726	Psych 372	Development in Adolescence and Early Adulthood	Psych
8727	Psych 373	Development in Middle and Late Adulthood	Psych
8728	Psych 389	Sikolohiyang Pangrelihiyon ng mga Pilipino (Filipino Religious Psychology)	Psych
8729	Psych 398	Internship in Psychology	Psych
8730	Psych 398.1	Internship in Clinical Psychology: Clinical Assessment	Psych
8731	Psych 398.2	Internship in Clinical Psychology: Psychotherapy	Psych
8732	Psych 400	PhD Dissertation	Psych
8733	Psychology 380	Advanced Seminar in Social Psychology	Psych
8734	Psychology 381	Advanced Topics in Social Psychology	Psych
8735	Public Ad 101	The Philippine Administrative System	CPAGE
8736	Public Ad 102	Introduction to Public Administration	CPAGE
8737	Public Ad 103	Problems in Public Administration	CPAGE
8738	Public Ad 132	Administrative Organization and Management	CPAGE
8739	Public Ad 132	Politics and Administration	CPAGE
8740	Public Ad 133	Governmental Budgeting	CPAGE
8741	Public Ad 135	Public Fiscal Administration	CPAGE
8742	ROTC Mil Sci 1	ROTC Mil Sci 1	DMST
8743	ROTC Mil Sci 2	ROTC Mil Sci 2	DMST
8744	Russ 10	Elementary Russian	DEL
8745	Russ 11	Elementary Russian	DEL
8746	Russ 12	Intermediate Russian	DEL
8747	Russ 13	Intermediate Russian	DEL
8748	Russ 14	Advanced Language Course I	DEL
8749	Russ 15	Advance Language Course II	DEL
8750	Russ 20	Advanced Language Course I	DEL
8751	Russ 21	Advance Language Course II	DEL
8752	Russ 30	Advanced Spoken Russian I	DEL
8753	Russ 31	Advanced Spoken Russian II	DEL
8754	Russ 40	Advanced Grammar	DEL
8755	Russ 50	Advanced Syntax and Composition	DEL
8756	Russ 60	Composition	DEL
8757	Russ 100	Russian Culture and Civilization	DEL
8758	Russ 101	Contemporary Russian Culture and Civilization	DEL
8759	Russ 110	Survey of Rusian Literature	DEL
8760	Russ 120	Representative Russian Authors I	DEL
8761	Russ 121	Representative Russian Authors II	DEL
8762	Russ 140	Technical Russian	DEL
8763	Russ 142	Scientific Language	DEL
8764	Russ 150	Masterpieces for Russian Literature I	DEL
8765	Russ 151	Materpieces for Russian Literature II	DEL
8766	Russ 160	Contemporary Russian Literarture I	DEL
8767	Russ 161	Contemporary Russian Literature II	DEL
8768	Russ 170	Techniques of Russian Translation	DEL
8769	Russ 197	Special Topics	DEL
8770	Russian 16	Advanced Language Course III in Russian	DEL
8771	SA 228	Modeling	SA
8772	SAS 1	Self and Society	Socio, CSSP
8773	SD 301	Social Development:  History and Perspectives	DSD
8774	SD 302	Theories and Constructs in Social Development	DSD
8775	SD 303	Social Development Strategies	DSD
8776	SD 304	Social Development Policy Analysis and Advocacy	DSD
8777	SD 311	Seminar in Contemporary and Emerging Trends in Social Development	DSD
8778	SD 312	Seminar in Financing for Social Development	DSD
8779	SD 313	Special Topics	DSD
8780	SD 398	Social Development Research I	DSD
8781	SD 399	Social Development Research II	DSD
8782	SD 400	Dissertation	DSD
8783	SEA 30	Asian Emporiums: Networks of Culture and Trade in Southeast Asia	CIS
8784	SFA 16	Drawing I	SA
8785	SFA 17	Drawing II	SA
8786	SFA 20	Visual Studies I	SA
8787	SFA 21	Visual Studies II	SA
8788	SFA 22	Techniques III	SA
8789	SFA 23	Techniques IV	SA
8790	SFA 24	Materials III	SA
8791	SFA 25	Materials IV	SA
8792	SFA 27	Design Techniques	SA
8793	SFA 30	Serigraphy (Indirect Stencil Technique)	SA
8794	SFA 31	Serigraphy (Direct Stencil Technique)	SA
8795	SFA 40	Clay Body Exploration I	SA
8796	SFA 41	Clay Body Exploration II	SA
8797	SFA 100	Painting I	SA
8798	SFA 101	Painting II	SA
8799	SFA 102	Sculpture I	SA
8800	SFA 103	Sculpture II	SA
8801	SFA 120	Advanced Visual Studies I	SA
8802	SFA 121	Advanced Visual Studies II	SA
8803	SFA 122	Advanced Problems in Sculpture I	SA
8804	SFA 123	Advanced Problems in Sculpture II	SA
8805	SFA 124	Materials and Techniques I	SA
8806	SFA 125	Materials and Techniques II	SA
8807	SFA 126	Materials and Techniques in Sculpture I	SA
8808	SFA 127	Materials and Techniques in Sculpture II	SA
8809	SFA 130	Relief Printmaking (Rubbercut/Linocut)	SA
8810	SFA 131	Relief Printmaking (Woodcut)	SA
8811	SFA 132	Intaglio Printmaking  (Drypoint and Collagraph)	SA
8812	SFA 133	Intaglio Printmaking (Etching)	SA
8813	SFA 140	Sculptural Ceramics I	SA
8814	SFA 141	Sculptural Ceramics II	SA
8815	SFA 142	Studio Pottery I	SA
8816	SFA 143	Studio Pottery II	SA
8817	SFA 144	Ceramic Multiples for Studio Practices I	SA
8818	SFA 145	Ceramic Multiples for Studio Practices II	SA
8819	SFA 150	Art in Social Contexts	SA
8820	SFA 151	Creative Art in Industry	SA
8821	SFA 152	Applied Visual Studies I	SA
8822	SFA 153	Applied Visual Studies II	SA
8823	SFA 154	Chiaroscuro I	SA
8824	SFA 156	Chiaroscuro II	SA
8825	SFA 180	Professional Art Practice I	SA
8826	SFA 181	Professional Art Practice II	SA
8827	SFA 190	Art Seminar I	SA
8828	SFA 191	Art Seminar II	SA
8829	SFA 192	Art Workshop I	SA
8830	SFA 193	Art Workshop II	SA
8831	SOSC 3	Exploring Gender and Sexuality	DAnthro, Psych, CSSP
8832	SP 1	Hard Tools	DME
8833	SP 3	Machine Tools	DME
8834	SP 4	Welding, Foundry, and Allied Practices	DME
8835	SP 5	Pattern-Making, Welding, and Foundry Practice	DME
8836	SP 6	Machine Work	DME
8837	SS 100	Introduction to Physical Education and Sport Sciences	DSS
8838	SS 102	Human Anatomy and Physiology 1	DSS
8839	SS 103	Human Anatomy and Physiology 2	DSS
8840	SS 104	Tests and Measurement in Exercise and Sport Sciences	DSS
8841	SS 105	Human Bioenergetics in Exercise and Sports	DSS
8842	SS 110	Basic Weight Training	DSS
8843	SS 111	Advanced Weight Training	DSS
8844	SS 120	Basic Fitness Dance	DSS
8845	SS 121	Advanced Fitness Dance	DSS
8846	SS 130	First Aid	DSS
8847	SS 140	Exercise Physiology I	DSS
8848	SS 141	Exercise Physiology II	DSS
8849	SS 150	Acquisition of Motor Skills	DSS
8850	SS 151	Biomechanics I	DSS
8851	SS 152	Biomechanics II	DSS
8852	SS 160	Sports in Society and Culture	DSS
8853	SS 161	Psychology in Sports	DSS
8854	SS 170	Methods of Physical Conditioning	DSS
8855	SS 171	Prevention and Management of Human Movement Related Injuries	DSS
8856	SS 181	Ergogenics in Human Movement Related Activities	DSS
8857	SS 190	Management of Sports and Recreation Related Services	DSS
8858	SS 191	Principles of Coaching	DSS
8859	SS 197	BSS Internship	DSS
8860	SS 199	Research Methods	DSS
8861	SS 200	Thesis	DSS
8862	STS 1	Science, Technology and Society	SSP
8863	SW 104	Principles of Child Welfare	SW
8864	SW 105	Social Case Work	SW
8865	SW 107	Introduction to Group Work Methods	SW
8866	SW 109	Community Study	SW
8867	SW 110	Critical Social Work	SW
8868	SW 111	Social Change and Social Development 	SW
8869	SW 112	Field Observation	SW
8870	SW 113	Supervised Field Work II	SW
8871	SW 114	Medical and Psychiatric Information	SW
8872	SW 120	Social Work and the Filipino Personality	SW
8873	SW 121	Philippine Communities	SW
8874	SW 122	Social Welfare and  Philippine Realities	SW
8875	SW 123	Social Deviation and Social Work	SW
8876	SW 130	Social Welfare Policies, Programs and Services	SW
8877	SW 130	Fields of Social Work I	SW
8878	SW 131	Social Agency Management	SW
8879	SW 132	Project Development for Social Welfare and Community Development	SW
8880	SW 134	Social Work and Social Welfare Laws	SW
8881	SW 140	The Social Work Profession	SW
8882	SW 141	Social Work Practice with Individuals and Families	SW
8883	SW 142	Social Work Practice with Groups	SW
8884	SW 143	Social Work Practice with Communities	SW
8885	SW 145	Social Work Counseling	SW
8886	SW 146	Social Work Community Education and Training	SW
8887	SW 147	Strategies in Community-Based Social Work Practice	SW
8888	SW 148	Social Work in a Global Context	SW
8889	SW 150	Field Instruction I	SW
8890	SW 151	Field Instruction II	SW
8891	SW 151	Field Instruction II	SW
8892	SW 152	Field Instruction III	SW
8893	SW 153	Field Instruction IV	SW
8894	SW 160	Seminar in Social Work	SW
8895	SW 198	Statistics for Social Work	SW
8896	SW 199	Research in Social Work Practice	SW
8897	SW 199.1	Research in Social Work I	SW
8898	SW 199.2	Research in Social Work II	SW
8899	SW 201	Philippine Social Reality	SW
8900	SW 201	Social Work Perspectives	SW
8901	SW 202	Human Behavior and Social Change	SW
8902	SW 203	Psychiatry I	SW
8903	SW 204	Psychiatry II	SW
8904	SW 205	Social and Emotional Aspects of Physical Illness	SW
8905	SW 209	Social Welfare Administration	SW
8906	SW 210	Social Work Administration	SW
8907	SW 211	Social Welfare Policy Analysis and Development	SW
8908	SW 212	Social Planning and Program Development	SW
8909	SW 213	Supervised Field Work 	SW
8910	SW 215	Social Welfare Policy Advocacy	SW
8911	SW 218	Community Development 	SW
8912	SW 220	Generalist Social Work Practice	SW
8913	SW 221	Clinical Social Work Practice I	SW
8914	SW 222	Clinical Social Work Practice II	SW
8915	SW 225	Social Work Practice Models	SW
8916	SW 226	Social Work Interventions	SW
8917	SW 230	Theory and Practice of Community Organization	SW
8918	SW 231	Strategies in Community Mobilization	SW
8919	SW 235	Social Work Education and Training	SW
8920	SW 243	Social Case Work II	SW
8921	SW 247	Medical Case Work	SW
8922	SW 248	Organization of Health and Medical Services	SW
8923	SW 249	Seminar in Social Aspects of Medicine	SW
8924	SW 250	Teaching Social Work	SW
8925	SW 251	Social Work and the Law	SW
8926	SW 252	Social Work in the Health Services	SW
8927	SW 253	Supervision in the Social Services	SW
8928	SW 254	Seminar on Contemporary Social Work Practice	SW
8929	SW 255	Social Work and Migration	SW
8930	SW 256	Women, Gender and Social Work	SW
8931	SW 257	Community Welfare Organization II	SW
8932	SW 261	Social Work Approaches to Adult Learning	SW
8933	SW 262	Social Work in Industry I	SW
8934	SW 263	Social Work in Industry II	SW
8935	SW 265	Special Problems in Social Work	SW
8936	SW 266	Problems and Treatment of Delinquency	SW
8937	SW 267	Social Work with the Handicapped	SW
8938	SW 269	Social Work in Industry	SW
8939	SW 271	Special Problems	SW
8940	SW 280	Field Instruction I	SW
8941	SW 281	Field Instruction II	SW
8942	SW 285	Field Instruction 1: Generalist Social Work Practice	SW
8943	SW 286	Field Instruction 2: Integrative Social Work Practice	SW
8944	SW 287	Field Instruction 3: Innovative Interventions in Social Work Practice	SW
8945	SW 290	Social Work Research	SW
8946	SW 291	Supervised Field Work II	SW
8947	SW 299.1	Social Work Research I	SW
8948	SW 299.2	Social Work Research II	SW
8949	SW 300	Master's Thesis	SW
8950	Shop 7	General Shop Practice	DME
8951	Soc Change	Dynamics of Social Change	Socio
8952	Soc Sci 1	Foundations of Social Science	DGeog, CIS, Lingg, Socio, Psych, PopIns, DAnthro
8953	Soc Sci 2	Social, Economic and Political Thought	DAnthro, CIS, Lingg, Socio, PolSci
8954	Soc Sci 103	Statistics for the Social Sciences	Socio, PolSci, DAnthro
8955	Soc Sci 104	Human Rights and Humanitarian Law	PolSci
8956	Soc Sci 105	Gender Issues in Philippine Society	PopIns, Socio, DGeog
8957	Soc Sci 198	Seminar in the Behavioral Sciences	Socio
8958	Soc Sci 201	Statistics for the Social Sciences	PopIns, PolSci, Socio
8959	Soc Sci 203	Advanced Quantitative Methods	Socio, PolSci, PolSci, Socio
8960	Soc Sci 210	Seminar on Society, Culture and Personality	PolSci
8961	Soc Sci 295	Survey Research	PolSci
8962	Soc Sci 366	Man and His Environment I	Socio
8963	Soc Sci 367	Man and His Environment II	PolSci
8964	Socio 10	Being Filipino: A Sociological Exploration 	Socio
8965	Socio 11	Philippine Contemporary Social Issues	Socio
8966	Socio 101	General Sociology	Socio
8967	Socio 102	Introduction to Sociological Research	Socio
8968	Socio 103	Social Psychology	Socio
8969	Socio 104	Rural Sociology	Socio
8970	Socio 105	Sociology of Deviant Behavior 	Socio
8971	Socio 106	None	Socio
8972	Socio 107	Urban Sociology	Socio
8973	Socio 108	Crime and Delinquency	Socio
8974	Socio 109	Race and Ethnic Relations	Socio
8975	Socio 110	Social Organization	Socio
8976	Socio 111	Human Ecology	Socio
8977	Socio 112	Rural Social Problems	Socio
8978	Socio 113	Sociology of the Family and Its Alternative Forms	Socio
8979	Socio 114	The Philippine Social System	Socio
8980	Socio 116	Institutions of East Asia	Socio
8981	Socio 118	Sociology of the Economy	Socio
8982	Socio 119	Industrial Sociology	Socio
8983	Socio 120	Industrial Sociology	Socio
8984	Socio 121	Sociology of Education	Socio
8985	Socio 122	Rural Sociology	Socio
8986	Socio 123	Urban Sociology	Socio
8987	Socio 124	Sociology of Education	Socio
8988	Socio 125	Sociology of Religion	Socio
8989	Socio 126	Urban Sociology	Socio
8990	Socio 127	Political Sociology	Socio
8991	Socio 128	Social Stratification	Socio
8992	Socio 129	Race and Ethnic Relations	Socio
8993	Socio 130	Non-conformist Cultures	Socio
8994	Socio 131	Criminology	Socio
8995	Socio 132	Sociology of Deviant Behavior	Socio
8996	Socio 135	Collective Behavior	Socio
8997	Socio 140	Socialization and Group Interaction	Socio
8998	Socio 142	Sociology of Mass Communication	Socio
8999	Socio 143	Social Psychology of Groups	Socio
9000	Socio 144	Youth and Society	Socio
9001	Socio 146	Social Psychology of Attitudes	Socio
9002	Socio 153	Sociology of Development	Socio
9003	Socio 160	Society and Population	Socio
9004	Socio 165	Human Ecology	Socio
9005	Socio 167	Sociology of the Environment	Socio
9006	Socio 171	Sociological Theory I	Socio
9007	Socio 172	Sociological Theory II	Socio
9008	Socio 178	Special Topics in Sociological Theory	Socio
9009	Socio 179	Readings in Sociology	Socio
9010	Socio 180	Social Statistics	Socio
9011	Socio 181	Quantitative Approaches in Sociological Research	Socio
9012	Socio 182	Qualitative Approaches in Sociological Research	Socio
9013	Socio 183	Principles and Methods of Survey Research	Socio
9014	Socio 188	Special Topics in Research Methodology	Socio
9015	Socio 190	Social Statistics	Socio
9016	Socio 193	Personality and Leadership	Socio
9017	Socio 195	Sociological Theory I	Socio
9018	Socio 196	Sociological Theory II	Socio
9019	Socio 197	Special Topics in Sociology	Socio
9020	Socio 199	Quantitative Methods of Sociological Research	Socio
9021	Socio 199.1	Qualitative Methods of Sociological Research	Socio
9022	Socio 200	Thesis	Socio
9023	Socio 201	Sociological Theory and Concepts	Socio
9024	Socio 202	Development of Sociological Thought	Socio
9025	Socio 203	Readings in Sociology	Socio
9026	Socio 204	Readings in Sociology	Socio
9027	Socio 211	Community Power Structures	Socio
9028	Socio 212	Seminar in Sociology of Gender	Socio
9029	Socio 213	Seminar in Marriage and the Family	Socio
9030	Socio 214	Medical Sociology	Socio
9031	Socio 215	Medical Sociology	Socio
9032	Socio 216	Seminar in Sociology of Ageing	Socio
9033	Socio 217	Seminar in the Sociology of Work	Socio
9034	Socio 218	Economy and Society	Socio
9035	Socio 219	Seminar in Industrial Sociology	Socio
9036	Socio 220	Social Institutions	Socio
9037	Socio 221	Organizations	Socio
9038	Socio 225	Seminar in Sociology of Work	Socio
9039	Socio 226	Seminar in Sociology of Civil Society	Socio
9040	Socio 227	Seminar in Political Sociology	Socio
9041	Socio 228	Seminar in Social Stratification	Socio
9042	Socio 229	Seminar in Ethnic Relations	Socio
9043	Socio 231	Sociology of Corrections	Socio
9044	Socio 232	Seminar in Deviance and Social Control	Socio
9045	Socio 233	Seminar in Juvenile Delinquency	Socio
9046	Socio 234	Seminar in Criminology and Penology	Socio
9047	Socio 235	Theories of Social Change	Socio
9048	Socio 240	Advanced Social Psychology	Socio
9049	Socio 241	Social Processes	Socio
9050	Socio 243	Popular Culture	Socio
9051	Socio 244	Social Movements	Socio
9052	Socio 245	Seminar in Collective Behavior	Socio
9053	Socio 246	Small Groups	Socio
9054	Socio 247	Seminar in Society and Language	Socio
9055	Socio 248	Special Topics in Social Psychology	Socio
9056	Socio 250	Seminar on Social Psychology	Socio
9057	Socio 251	Seminar in Social Change	Socio
9058	Socio 252	Cultural and Social Forces in Southeast Asia	Socio
9059	Socio 253	Seminar in the Sociology of Developing Societies	Socio
9060	Socio 254	Ideology and Revolution	Socio
9061	Socio 257	Seminar in Rural and Urban Studies	Socio
9062	Socio 260	Seminar in Demography	Socio
9063	Socio 261	Demographic Statistics	Socio
9064	Socio 262	Population Studies	Socio
9065	Socio 263	Special Topics in Demography	Socio
9066	Socio 265	Seminar in Advanced Human Ecology	Socio
9067	Socio 267	Environmental Sociology	Socio
9068	Socio 271	Seminar in Classical Sociological Theory	Socio
9069	Socio 272	Seminar in Contemporary Sociological Theory	Socio
9070	Socio 273	Sociology of Knowledge	Socio
9071	Socio 274	Theory Construction	Socio
9072	Socio 275	Seminar in Sociology of Post Modernity	Socio
9073	Socio 280	Readings in Sociology	Socio
9074	Socio 280.1	Readings in Sociology	Socio
9075	Socio 281	Quantitative Techniques in Social Research	Socio
9076	Socio 282	Qualitative Techniques in Social Research	Socio
9077	Socio 288	Special Topics in Sociological Methodology	Socio
9078	Socio 289	Workshop in Social Research	Socio
9079	Socio 290	Workshop in Social Research	Socio
9080	Socio 291	Theory Construction	Socio
9081	Socio 292	Seminar in Classical Theories of Sociology	Socio
9082	Socio 293	Seminar in Contemporary Sociological Theory	Socio
9083	Socio 294	Sociology of Knowledge	Socio
9084	Socio 295	Special Topics in Sociology	Socio
9085	Socio 296	Quantitative Techniques in Social Research	Socio
9086	Socio 297	Special Topics in Sociology	Socio
9087	Socio 299	Special Topics in Sociological Methodology	Socio
9088	Socio 299.1	Seminar on Methods of Sociological Research II	Socio
9089	Socio 300	Master's Thesis	Socio
9090	Socio 308	Seminar in Sociology of Science	Socio
9091	Socio 309	Seminar in Technology and Society	Socio
9092	Socio 378	Special Topics in Sociological Theory	Socio
9093	Socio 388	Special Topics in Sociological Methodology	Socio
9094	Socio 400	Dissertation	Socio
9095	Span I	Elementary Course	DEL
9096	Span II	Elementary Course	DEL
9097	Span 3	Intermediate Spanish	DEL
9098	Span 10	Elementary Course	DEL
9099	Span 11	Elementary Course	DEL
9100	Span 12	Intermediate Spanish	DEL
9101	Span 13	Intermediate Spanish	DEL
9102	Span 14	Advanced Language Course I	DEL
9103	Span 15	Advanced Language Course II	DEL
9104	Span 20	Readings in Spanish	DEL
9105	Span 31	Advanced Spoken Spanish II	DEL
9106	Span 40	Advanced Grammar	DEL
9107	Span 45	Introduction to Spanish Phonetics and Phonology	DEL
9108	Span 50	Advanced Syntax and Composition	DEL
9109	Span 80	Spanish Stylistics	DEL
9110	Span 100	Spanish Culture and Civilization	DEL
9111	Span 101	Contemporary Spanish Culture and Civilization	DEL
9112	Span 102	Advanced Spanish Grammar	DEL
9113	Span 105	Latin American Culture and Civilization	DEL
9114	Span 106	Contemporary Latin American Culture and Civilization	DEL
9115	Span 112	Filipino Poetry in Spanish	DEL
9116	Span 115	Filipino Prose in Spanish	DEL
9117	Span 116	A Study of Mabini's Works	DEL
9118	Span 117	Filipino Poetry in Spanish	DEL
9119	Span 120	Representative Spanish Authors	DEL
9120	Span 121	Spanish Literature II	DEL
9121	Span 122	Spanish Literature III	DEL
9122	Span 123	Contemporary Literature of Spain	DEL
9123	Span 124	Spanish Drama	DEL
9124	Span 125	The Literature of Spanish America	DEL
9125	Span 131	Spanish Phonetics	DEL
9126	Span 132	Spanish Drama	DEL
9127	Span 133	Spanish Methodology	DEL
9128	Span 134	Spanish Stylistics	DEL
9129	Span 135	Spanish Dramatic Literature	DEL
9130	Span 136	Spanish Stagecraft	DEL
9131	Span 140	Technical Spanish	DEL
9132	Span 150	Masterpieces of Spanish Literature	DEL
9133	Span 151	Masterpieces of Spanish Literature II	DEL
9134	Span 152	Basic Grammar	DEL
9135	Span 153	Advanced Syntax	DEL
9136	Span 154	Spoken Spanish	DEL
9137	Span 155	Introduction to Spanish Linguistics	DEL
9138	Span 156	Composition and Style	DEL
9139	Span 160	Contemporary Spanish Literature	DEL
9140	Span 161	Contemporary Spanish Literature II	DEL
9141	Span 162	Spanish Poetry by Filipinos	DEL
9142	Span 170	Techniques of Spanish Translation	DEL
9143	Span 171	Hispanic Studies	DEL
9144	Span 180	Methodology of Spanish Literature	DEL
9145	Span 182	Spanish Classicists	DEL
9146	Span 183	The Generation of 1898	DEL
9147	Span 197	Special Topics	DEL
9148	Span 199	Research Techniques and Thesis Writing	DEL
9149	Span 203	Works of Cervantes	DEL
9150	Span 204	Works of Lope De Vega	DEL
9151	Span 205	Masterpieces of Spanish Literature	DEL
9152	Span 206	History of the Spanish Language	DEL
9153	Span 208	Spanish Stylistics	DEL
9154	Span 210	The Spanish Novel	DEL
9155	Span 211	Don Quijote de la Mancha	DEL
9156	Span 212	Spanish Bibliography	DEL
9157	Span 261	Philippine Literature in Spanish	DEL
9158	Span 262	The Spanish Influence in Philippine Literature	DEL
9159	Span 263	The Spanish Influence in Philippine Literature	DEL
9160	Span 300	Master's Thesis	DEL
9161	Spanish 16	Advanced Language Course III in Spanish	DEL
9162	Spanish 30	Advanced Spoken Spanish I	DEL
9163	Spanish 51	Text Engagement in Spanish	DEL
9164	Spanish 60	Composition	DEL
9165	Spanish 61	Academic Writing in Spanish	DEL
9166	Spanish 70	Critical Theories in Spanish	DEL
9167	Spanish 110	Spanish Literature I	DEL
9168	Spanish 111	Spanish Literature II	DEL
9169	Spanish 130	Spanish Linguistics I	DEL
9170	Spanish 131	Spanish Linguistics II	DEL
9171	Spec Thought	Readings in Speculative Thought	Philo
9172	Speech 1	Fundamentals of Speech	DSCTA
9173	Speech 30	Public Speaking and Persuasion	DSCTA
9174	Speech 100	Introduction to Speech Communication	DSCTA
9175	Speech 110	Speech Communication Research Methods	DSCTA
9176	Speech 113	Language and Ethics in Speech Communication Behavior	DSCTA
9177	Speech 115	Bases of Speech	DSCTA
9178	Speech 115	Bases of Speech	DSCTA
9179	Speech 120	Oral Interpretation and Performance	DSCTA
9180	Speech 122	Performance of Children’s Literature	DSCTA
9181	Speech 123	Interpretation of Drama	DSCTA
9182	Speech 124	Introduction to Chamber Theatre	DSCTA
9183	Speech 125	Performance of Philippine Oral Literature	DSCTA
9184	Speech 126	Performance of the Literature of the World’s Religions	DSCTA
9185	Speech 130	Rhetoric	DSCTA
9186	Speech 131	Contemporary Rhetorical Theories	DSCTA
9187	Speech 132	Rhetorical Criticism	DSCTA
9188	Speech 133	Argumentation	DSCTA
9189	Speech 133	Argumentation	DSCTA
9190	Speech 134	Debate and Other Parliamentary Procedures	DSCTA
9191	Speech 136	Forms of Public Address	DSCTA
