	course_code	course_title	offering_unit
227	App Physics 155	Computer Methods in Physics I	NIP
228	App Physics 156	Computer Methods in Physics II	NIP
229	App Physics 157	Computational Analysis and Modeling in Physics	NIP
230	App Physics 167	Applied Optics	NIP
231	App Physics 171	Introductory Crystallography	NIP
232	App Physics 173	Solid State Physics	NIP
233	App Physics 175	Materials Physics I	NIP
234	App Physics 176	Materials Physics II	NIP
235	App Physics 181	Physical Electronics I	NIP
236	App Physics 182	Physical Electronics II	NIP
237	App Physics 183	Control Systems Approach to Physics Modeling	NIP
238	App Physics 184	Physical Electronics and Instrumentation	NIP
239	App Physics 185	Instrumentation Physics I	NIP
240	App Physics 186	Instrumentation Physics II	NIP
241	App Physics 187	Photonics and Applied Optics	NIP
242	App Physics 195	Special Topics	NIP
243	App Physics 199	Undergraduate Research	NIP
244	App Physics 200	Undergraduate Thesis	NIP
245	App Physics 299	Independent Master's Thesis	NIP
246	Apsy 101	Introduction To Applied Psychology	Psych
247	Apsy 151	Personal Growth	Psych
248	Apsy 156	Introduction To Clinical Psychology	Psych
249	Apsy 163	Psychological Assessment In Various Settings	Psych
250	Apsy 181	Introduction To Community Psychology	Psych
251	Apsy 182	Introduction To Industrial-Organizational Pyschology	Psych
252	Apsy 183	Human Resources Development	Psych
253	Apsy 184	Group Psychology	Psych
254	Apsy 199.1	Research In Applied Psychology I (Thesis Writing I)	Psych
255	Apsy 199.2	Research In Applied Psychology II (Thesis Writing 2)	Psych
256	Arabic 10	Elementaring Arabik I (Elementary Arabic I)	Lingg
257	Arabic 11	Elementaring Arabik II (Elementary Arabic II)	Lingg
258	Arabic 12	Intermidyet na Arabik I (Intermediate Arabic I)	Lingg
259	Arabic 13	Intermidyet na Arabik II (Intermediate Arabic II)	Lingg
260	Arabic 100	Advans na Arabik I (Advanced Arabic I)	Lingg
261	Arabic 101	Advans na Arabik II (Advanced Arabic II)	Lingg
262	Arabic 110	Mga Babasahin sa Arabik (Readings in Arabic)	Lingg
263	Arabic 111	Advans na Komposisyon sa Arabik (Advanced Composition in Arabic)	Lingg
264	Aral Pil 202	Oryentasyon at Lapit na Interdisiplinari sa Araling Pilipino	DFPP
265	Aral Pil 300	Tesis	DFPP
266	Arch 1	Architectural Communication I:  Mechanical Drawing	Arch
267	Arch 2	Architectural Communication II: Graphic Visualization and Representation Techniques	Arch
268	Arch 3	Architectural Communication III: Architectural Presentation Techniques	Arch
269	Arch 4	Architectural Communication IV: Introduction to Computer-Aided Design and Digital Visualization	Arch
270	Arch 5	Architectural Communication V: Digital Visualization in Architecture	Arch
271	Arch 10	Architectural Design I:  Foundations of Design	Arch
272	Arch 16	History, Theory and Criticism I: Introduction to Architecture	Arch
