	course_code	units
693	Pan Pil 161	3.0
694	Pan Pil 162	3.0
695	Pan Pil 165	3.0
696	Pan Pil 175	3.0
697	Pan Pil 180	3.0
698	Pan Pil 181	3.0
699	Pan Pil 186	3.0
700	Pan Pil 190	3.0
701	Pan Pil 197	3.0
702	Pan Pil 202	3.0
703	Pan Pil 210	3.0
704	Pan Pil 222	3.0
705	Pan Pil 240	3.0
706	Pan Pil 261	3.0
707	Pan Pil 268	3.0
708	Pan Pil 281	3.0
709	Pan Pil 298	3.0
710	Pan Pil 299	3.0
711	Pan Pil 300	3.0
712	Pan Pil 330	3.0
713	Pan Pil 340	3.0
714	Pan Pil 381	3.0
715	Perf. Stud. 301	3.0
716	Perf. Stud. 303	3.0
717	Perf. Stud. 331	3.0
718	Perf. Stud. 361	3.0
719	Phil Stud 101	3.0
720	Phil Stud 193	3.0
721	Phil Stud 197	3.0
722	Phil Stud 199	3.0
723	Phil Stud 200	3.0
724	Philo 1	3.0
725	Philo 11	3.0
726	Philo 104	3.0
727	Philo 108	3.0
728	Philo 109	3.0
729	Philo 110	3.0
730	Philo 112	3.0
731	Philo 113	3.0
732	Philo 160	3.0
733	Philo 171	3.0
734	Philo 172	3.0
735	Philo 173	3.0
736	Philo 174	3.0
737	Philo 175	3.0
738	Philo 195	3.0
739	Philo 198	3.0
740	Philo 199	3.0
741	Philo 204	3.0
742	Philo 211	3.0
743	Philo 285	3.0
744	Philo 291	3.0
745	Philo 295	3.0
746	Philo 300	3.0
747	Philo 303	3.0
748	Philo 387	3.0
749	Philo 391	3.0
750	Philo 397	3.0
751	Philo 398	3.0
752	Philo 400	6.0
753	Physics 10	3.0
754	Physics 71	4.0
755	Physics 71.1	1.0
756	Physics 72	4.0
757	Physics 72.1	1.0
758	Physics 73	4.0
759	Physics 106	5.0
760	Physics 106.1	1.0
761	Physics 107	5.0
762	Physics 107.1	1.0
763	Physics 108	5.0
764	Physics 116	5.0
765	Physics 117	5.0
766	Physics 118	3.0
767	Physics 126	4.0
768	Physics 131	3.0
769	Physics 141	3.0
770	Physics 170	3.0
771	Physics 180	3.0
772	Physics 192	4.0
773	Physics 195	3.0
774	Physics 196	1.0
775	Physics 199	3.0
776	Physics 200	3.0
777	Physics 202.1	3.0
778	Physics 203.1	3.0
779	Physics 204.1	4.0
780	Physics 204.2	3.0
781	Physics 204.5	3.0
782	Physics 210.2	3.0
783	Physics 211	3.0
784	Physics 221	3.0
785	Physics 231	3.0
786	Physics 241	3.0
787	Physics 252	3.0
788	Physics 265	3.0
789	Physics 271	3.0
790	Physics 275	3.0
791	Physics 290	1.0
792	Physics 296	1.0
793	Physics 299	3.0
794	Physics 300	3.0
795	Physics 305	3.0
796	Physics 312	3.0
797	Physics 399	3.0
798	Physics 400	3.0
799	Plan 201	3.0
800	Plan 203	3.0
801	Plan 205	3.0
802	Plan 210	3.0
803	Plan 210.1	5.0
804	Plan 214	3.0
805	Plan 222	3.0
806	Plan 230	3.0
807	Plan 231	3.0
808	Plan 232	3.0
809	Plan 239	3.0
810	Plan 240	3.0
811	Plan 241	3.0
812	Plan 249	3.0
813	Plan 252	3.0
814	Plan 253	3.0
815	Plan 259	3.0
816	Plan 280	3.0
817	Plan 289	3.0
818	Plan 299	3.0
819	Plan 300	6.0
820	Plan 391	3.0
821	Plan 400	12.0
822	Port 10	3.0
823	Psych 101	3.0
824	Psych 105	3.0
825	Psych 108	3.0
826	Psych 110	5.0
827	Psych 115	4.0
828	Psych 118	5.0
829	Psych 124	3.0
830	Psych 140	3.0
831	Psych 148	4.0
832	Psych 150	3.0
833	Psych 153	3.0
834	Psych 155	3.0
835	Psych 160	4.0
836	Psych 162	4.0
837	Psych 163	4.0
838	Psych 170	3.0
839	Psych 180	3.0
840	Psych 195	3.0
841	Psych 300	3.0
842	Psych 400	6.0
843	ROTC Mil Sci 1	3.0
844	Russ 10	3.0
845	Russ 11	3.0
846	B 201	3.0
847	B 240	3.0
848	B Ind/Mal 10	3.0
849	B Ind/Mal 11	3.0
850	BA 99.1	3.0
851	BA 101	3.0
852	BA 102	3.0
853	BA 103	3.0
854	BA 105	3.0
855	BA 108	3.0
856	BA 114.1	4.5
857	BA 115	3.0
858	BA 116	6.0
859	BA 118.3	6.0
860	BA 121	3.0
861	BA 122.2	6.0
862	BA 127	3.0
863	BA 129	3.0
864	BA 133	3.0
865	BA 141	3.0
866	BA 145	3.0
867	BA 148	3.0
868	BA 151	3.0
869	BA 152	3.0
870	BA 158	3.0
871	BA 160	3.0
872	BA 161	3.0
873	BA 166	3.0
874	BA 170	3.0
875	BA 174	3.0
876	BA 175	3.0
877	BA 177	3.0
878	BA 178	3.0
879	BA 180.1	3.0
880	BA 181	3.0
881	BA 186	3.0
882	BA 192	3.0
883	BA 198	3.0
884	BA 199	6.0
885	BA 302	3.0
886	BA 311	3.0
887	BA 312	3.0
888	BA 320	3.0
889	BA 350	3.0
890	BA 394	3.0
891	BA 400	6.0
892	BIO 1	3.0
893	BIO 11	3.0
894	BIO 11.1	2.0
895	BIO 12	3.0
896	BIO 12.1	2.0
897	BIO 100	3.0
898	BIO 101	3.0
899	BIO 102	3.0
900	BIO 102.1	2.0
901	BIO 112	4.0
902	BIO 113	3.0
903	BIO 115	4.0
904	BIO 118	4.0
905	BIO 119	4.0
906	BIO 120	4.0
907	BIO 121	4.0
908	BIO 122	3.0
909	BIO 122.1	2.0
910	BIO 123	3.0
911	BIO 131	4.0
912	BIO 132	3.0
913	BIO 132.1	2.0
914	BIO 134	3.0
915	BIO 140	3.0
916	BIO 140.1	2.0
917	BIO 141	0.0
918	BIO 142	3.0
919	BIO 150	3.0
920	BIO 150.1	2.0
921	BIO 151	0.0
922	BIO 160	3.0
923	BIO 160.1	2.0
924	BIO 163	3.0
925	BIO 164	3.0
926	BIO 165	3.0
927	BIO 166	4.0
928	BIO 191	3.0
929	BIO 193	3.0
930	BIO 196	1.0
931	BIO 200a	2.0
932	BIO 210	3.0
933	BIO 220	3.0
934	BIO 230	3.0
935	BIO 240	3.0
936	BIO 244	3.0
937	BIO 250	3.0
938	BIO 251	3.0
939	BIO 260	3.0
940	BIO 263	3.0
941	BIO 271	3.0
942	BIO 281	3.0
943	BIO 296	1.0
944	BIO 300	6.0
945	BIO 395	4.0
946	BIO 397	3.0
947	BIO 399	2.0
948	BIO 400	6.0
949	BJ 101	3.0
950	BJ 130	3.0
951	BMAS 100	3.0
952	BMAS 102	3.0
953	BMAS 103	3.0
954	BMAS 110	3.0
955	BMAS 112	3.0
956	BMAS 120	3.0
957	BMAS 121	3.0
958	BMAS 123	3.0
959	BMAS 126	3.0
960	BMAS 134	3.0
961	BMAS 140	3.0
962	BMAS 143	3.0
963	BMAS 147	3.0
964	BMAS 163	3.0
965	BMAS 196	3.0
966	BMAS 199	3.0
967	BMAS 199.1	3.0
968	BMAS 200	3.0
969	Bioethics 201	3.0
970	Bioethics 211	3.0
971	Bioethics 292	3.0
972	Bioinfo 201	3.0
973	Bioinfo 202	3.0
974	Bioinfo 205	3.0
975	Bioinfo 221	3.0
976	Bioinfo 271	3.0
977	Bioinfo 300	3.0
978	FA 10	3.0
979	FA 12	3.0
980	FA 14	3.0
981	FA 16	3.0
982	FA 17	3.0
983	FA 18	3.0
984	FA 28	3.0
985	FA 30	3.0
986	FA 133	3.0
987	FA 199	3.0
988	FA 201	3.0
989	FA 203	3.0
990	FA 213	3.0
991	FA 221	3.0
992	FA 233	3.0
993	FLCD 100	3.0
994	FLCD 101	3.0
995	FLCD 124	3.0
996	FLCD 125	3.0
997	FLCD 126	3.0
998	FLCD 131	3.0
999	FLCD 132	4.0
1000	FLCD 136	6.0
1001	FLCD 196	3.0
