course_code,course_title,offering_unit,units
Arch 256,Building Technology I,Arch,3.0
Arch 257,Building Technology II,Arch,3.0
Arch 259,Complex Architectural Structures,Arch,3.0
Arch 261,Fundamentals of Housing,Arch,3.0
Arch 262,Research Methods for Housing Design,Arch,3.0
Arch 264,Analytical Methods for Housing Design,Arch,3.0
Arch 265,Current Issues in Housing,Arch,3.0
Arch 267,Special Studies in Housing,Arch,3.0
Arch 299,Seminar,Arch,3.0
Arch 300,Thesis,Arch,3.0
Archaeo 2,Archaeological Heritage: The Past is Not a Foreign Land,UPSA,3.0
Archaeo 201,Foundations of Archaeology,UPSA,3.0
Archaeo 202,History of Archaeology,UPSA,3.0
Archaeo 203,Archaeology and Culture,UPSA,3.0
Archaeo 204,Scientific Archaeological Analysis,UPSA,3.0
Archaeo 206,Field Methods in Archaeology,UPSA,3.0
Archaeo 207,Laboratory and Applied Analysis of Archaeological Remains,UPSA,3.0
Archaeo 210,Statistics in Archaeology,UPSA,3.0
Archaeo 211,Computer Programs in Archaeology,UPSA,3.0
Archaeo 218,Ethnoarchaeology,UPSA,3.0
Archaeo 219,Museology,UPSA,3.0
Archaeo 220,Philippine Prehistoric Archaeology,UPSA,3.0
Archaeo 221,Stone Ages,UPSA,3.0
Archaeo 222,Metal Ages,UPSA,3.0
Archaeo 224,Southeast Asian Prehistoric Archaeology,UPSA,3.0
Archaeo 230,Complex Societies in Southeast Asia,UPSA,3.0
Archaeo 231,Settlement Patterns and Household Systems in Southeast Asia,UPSA,3.0
Archaeo 234,Archaeology of Trade,UPSA,3.0
Archaeo 240,Human Paleontology,UPSA,3.0
Archaeo 241,Mortuary Analysis in Archaeology,UPSA,3.0
Archaeo 242,Archaeozoological Remains,UPSA,3.0
Archaeo 243,Lithic Analysis,UPSA,3.0
Archaeo 244,Ceramic Analysis,UPSA,3.0
Archaeo 245,Geoarchaeology,UPSA,3.0
Archaeo 250,Historical Archaeology,UPSA,3.0
Archaeo 251,Maritime and Underwater Archaeology,UPSA,3.0
Archaeo 260,Archaeological Resource Management,UPSA,3.0
Archaeo 269,Archaeological Applications of Geology,UPSA,3.0
Archaeo 297,Special Topics in Archaeology,UPSA,3.0
Archaeo 298,Special Topics in Regional Archaeology,UPSA,3.0
Archaeo 299,Research,UPSA,3.0
Archaeo 300,Master's Thesis,UPSA,3.0
Archaeo 301,Advanced Field Methods,UPSA,3.0
Archaeo 302,Heritage Management,UPSA,3.0
Archaeo 399,Independent Study,UPSA,3.0
Archaeo 400,Dissertation,UPSA,6.0
Archi 201,Architecture and Landscape Architecture Theories,Arch,3.0
Archi 202,Foundations of Qualitative Research in the Designed and Built Environment,Arch,3.0
Archi 203,Foundations of Quantitative Research in the Designed and Built Environment,Arch,3.0
Archi 210,Writings and Precedents in Architecture and Landscape Architecture,Arch,3.0
Archi 211,Studio Topic ,Arch,4.0
Archi 231,Urban Design Principles,Arch,3.0
Archi 232,Environmental Issues in Urban Design,Arch,3.0
Archi 233,Housing and Real Estate Development Issues in Urban Design,Arch,3.0
Archi 241,Architectural Heritage Studies,Arch,3.0
Archi 242,Conservation Management Planning,Arch,3.0
Archi 243,Architectural Heritage Theory and Conservation Laws,Arch,3.0
Archi 244,The Science of Built Heritage Conservation,Arch,3.0
Archi 251,Structuring Architectural Form,Arch,3.0
Archi 252,Lighting and Acoustics in Architecture,Arch,3.0
Archi 253,Design Visualization and Computation,Arch,3.0
Archi 254,Methods and Meanings of Building Materials and Systems,Arch,3.0
Archi 261,"People, Climate and Architecture",Arch,3.0
Archi 262,Tropical Dwellings,Arch,3.0
Archi 299,Graduate Seminar,Arch,2.0
Archi 300,Thesis,Arch,3.0
Arkiyoloji 1,Ang Pilipinas: Arkiyoloji at Kasaysayan,UPSA,3.0
Art Stud 2,Art Around Us: Exploring Everyday Life,DAS,3.0
Art Stud 50,The Field of Art Studies,DAS,3.0
Art Stud 100,The Visual Arts of the West from their Beginnings to High Renaissance,DAS,3.0
Art Stud 101,The Visual Arts of the West from the Mannerists to the Impressionists,DAS,3.0
Art Stud 102,The Human Image in the Arts,DAS,3.0
Art Stud 103,Folk Art,DAS,3.0
Art Stud 104,The Performing Arts,DAS,3.0
Art Stud 105,The Elements of Music,DAS,3.0
Art Stud 106,Musical Forms,DAS,3.0
Art Stud 107,Elements of Dance,DAS,3.0
Art Stud 109,Forms and Theories of Performance in Art Studies,DAS,3.0
Art Stud 110,The Classical Tradition in the Arts,DAS,3.0
Art Stud 111,Arts of the World I,DAS,3.0
Art Stud 112,Arts of the World II,DAS,3.0
Art Stud 113,Arts of the World III,DAS,3.0
Art Stud 115,The Medieval Tradition in the Arts,DAS,3.0
Art Stud 120,The Romantic Tradition in the Arts,DAS,3.0
Art Stud 125,The Spirit of the Renaissance in the Arts,DAS,3.0
Art Stud 130,The Spirit of the Baroque and Rococo in the Arts,DAS,3.0
Art Stud 135,19th Century Western Art,DAS,3.0
Art Stud 140,Modern Art,DAS,3.0
Art Stud 141,Photography as Art,DAS,3.0
Art Stud 142,The Cinematic Arts,DAS,3.0
Art Stud 143,Contemporary Art,DAS,3.0
Art Stud 144,New Media Art,DAS,3.0
Art Stud 150,The Arts in East Asia,DAS,3.0
Art Stud 151,The Arts in Southeast Asia,DAS,3.0
Art Stud 152,The Arts in South Asia,DAS,3.0
Art Stud 153,The Arts in West Asia and North Africa,DAS,3.0
Art Stud 154,The Arts in African Cultures,DAS,3.0
Art Stud 155,The Arts in North America,DAS,3.0
Art Stud 156,The Arts in Latin America,DAS,3.0
Art Stud 157,Contemporary Arts of Asia,DAS,3.0
Art Stud 160,Music in Asian Cultures,DAS,3.0
Art Stud 161,Music in Western Cultures,DAS,3.0
Art Stud 162,Dance in Asian Cultures,DAS,3.0
Art Stud 163,Dance in Western Cultures,DAS,3.0
Art Stud 170,Philippine Art and Society,DAS,3.0
Art Stud 171,The Arts of Philippine Living Traditions,DAS,3.0
Art Stud 172,Visual Arts in the Philippines ,DAS,3.0
Art Stud 173,Multi-Dimensional Visual Arts in the Philippines,DAS,3.0
Art Stud 174,Popular Art and Culture in the Philippines,DAS,3.0
Art Stud 175,Music in Philippine Culture,DAS,3.0
Art Stud 176,Dance in Philippine Culture,DAS,3.0
Art Stud 177,Cinema in Philippine Culture,DAS,3.0
Art Stud 178,Arts Management in the Philippines,DAS,3.0
Art Stud 179,Perspectives and Concepts in Philippine Art,DAS,3.0
Art Stud 180,The Arts in Chinese Civilization from the Neolithic to the Six Dynasties Period (7000 BC-520 AD),DAS,3.0
Art Stud 181,The Arts in Chinese Civilization from T'ang to Ch'ing Dynasty (618 AD-1912),DAS,3.0
Art Stud 182,Arts of Korea,DAS,3.0
Art Stud 183,The Arts in Islamic Civilizations,DAS,3.0
Art Stud 185,Japanese Sculpture and Architecture from their Beginnings to the 19th Century,DAS,3.0
