,0
"('College of Business Administration', 'Alonso Hall')",361.1
"('College of Business Administration', 'UP Department of Geodetics Engineering')",536.0
"('College of Business Administration', 'University of the Philippines Center for International Studies')",361.3
"('College of Business Administration', 'National Institute of Geological Sciences')",1079.7
"('College of Business Administration', 'UP College of Home Economics')",415.3
"('College of Business Administration', 'UP Institute of Islamic Studies')",1526.9
"('College of Business Administration', 'UP College of Law')",176.4
"('College of Business Administration', 'National Institute of Molecular Biology and Biotechnology')",638.1
"('College of Business Administration', 'UP Department of Mechanical Engineering')",678.8
"('College of Business Administration', 'UP Marine Science Institute')",980.0
"('College of Business Administration', 'Institute of Mathematics')",1031.5
"('College of Business Administration', 'Alfredo V. Lagmay Hall')",322.3
"('College of Business Administration', 'UP School of Urban and Regional Planning')",1408.6
"('College of Business Administration', 'UP Vanguard Building')",1343.7
"('College of Business Administration', 'University of the Philippines-Diliman Department of Sociology')",452.3
"('College of Business Administration', 'Bulwagang Silangang Palma')",329.8
"('College of Business Administration', 'UP School of Statistics New Building')",1020.0
"('College of Business Administration', 'Technology Management Center - University of the Philippines')",1104.9
"('College of Business Administration', 'UP Asian Institute Of Tourism')",1842.1
"('University of the Philippines, College of Social Sciences and Philosophy', 'National Institute of Physics')",936.6
"('University of the Philippines, College of Social Sciences and Philosophy', 'University of the Philippines College of Architecture')",787.6
"('University of the Philippines, College of Social Sciences and Philosophy', 'University of the Philippines College of Mass Communication')",865.1
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Institute of Biology')",724.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'University of the Philippines College of Social Work and Community Development')",1112.3
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",869.9
"('University of the Philippines, College of Social Sciences and Philosophy', 'Pavilion 1 - Palma Hall')",309.3
"('University of the Philippines, College of Social Sciences and Philosophy', 'Crafts and Interior Design Laboratory')",368.1
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP College of Home Economics Annex Building')",601.1
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Diliman Electrical and Electronics Engineering Institute')",564.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP National College of Public Administration and Governance')",1333.0
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP College of Human Kinetics')",1342.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",885.9
"('University of the Philippines, College of Social Sciences and Philosophy', 'University of the Philippines College of Engineering')",436.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP College of Music')",881.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP School of Economics')",617.1
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP College of Fine Arts')",1036.9
"('University of the Philippines, College of Social Sciences and Philosophy', 'Department of Chemical Engineering, University of the Philippines Diliman')",1017.9
"('University of the Philippines, College of Social Sciences and Philosophy', 'Computational Science Research Center')",800.5
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP College of Education')",267.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",828.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'Industrial Engineering - Mechanical Engineering Building')",708.4
"('University of the Philippines, College of Social Sciences and Philosophy', 'Institute of Environmental Science and Meteorology')",876.5
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Child Development Center')",586.4
"('University of the Philippines, College of Social Sciences and Philosophy', 'Alonso Hall')",515.3
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Department of Geodetics Engineering')",702.5
"('University of the Philippines, College of Social Sciences and Philosophy', 'University of the Philippines Center for International Studies')",116.0
"('University of the Philippines, College of Social Sciences and Philosophy', 'National Institute of Geological Sciences')",800.0
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP College of Home Economics')",569.5
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Institute of Islamic Studies')",1163.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP College of Law')",653.6
"('University of the Philippines, College of Social Sciences and Philosophy', 'National Institute of Molecular Biology and Biotechnology')",773.9
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Department of Mechanical Engineering')",593.2
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Marine Science Institute')",511.3
"('University of the Philippines, College of Social Sciences and Philosophy', 'Institute of Mathematics')",1055.9
"('University of the Philippines, College of Social Sciences and Philosophy', 'Alfredo V. Lagmay Hall')",184.3
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP School of Urban and Regional Planning')",1175.1
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Vanguard Building')",1180.8
"('University of the Philippines, College of Social Sciences and Philosophy', 'University of the Philippines-Diliman Department of Sociology')",157.3
"('University of the Philippines, College of Social Sciences and Philosophy', 'Bulwagang Silangang Palma')",249.9
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP School of Statistics New Building')",551.3
"('University of the Philippines, College of Social Sciences and Philosophy', 'Technology Management Center - University of the Philippines')",1129.3
"('University of the Philippines, College of Social Sciences and Philosophy', 'UP Asian Institute Of Tourism')",1674.2
"('National Institute of Physics', 'University of the Philippines College of Architecture')",1026.8
"('National Institute of Physics', 'University of the Philippines College of Mass Communication')",1621.6
"('National Institute of Physics', 'UP Institute of Biology')",328.9
"('National Institute of Physics', 'University of the Philippines College of Social Work and Community Development')",1868.8
"('National Institute of Physics', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",1001.1
"('National Institute of Physics', 'Pavilion 1 - Palma Hall')",959.3
"('National Institute of Physics', 'Crafts and Interior Design Laboratory')",885.4
"('National Institute of Physics', 'UP College of Home Economics Annex Building')",356.8
"('National Institute of Physics', 'UP Diliman Electrical and Electronics Engineering Institute')",562.7
"('National Institute of Physics', 'UP National College of Public Administration and Governance')",2049.3
"('National Institute of Physics', 'UP College of Human Kinetics')",2099.3
"('National Institute of Physics', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",50.7
"('National Institute of Physics', 'University of the Philippines College of Engineering')",1217.5
"('National Institute of Physics', 'UP College of Music')",1638.3
"('National Institute of Physics', 'UP School of Economics')",922.2
"('National Institute of Physics', 'UP College of Fine Arts')",1571.5
"('National Institute of Physics', 'Department of Chemical Engineering, University of the Philippines Diliman')",936.8
"('National Institute of Physics', 'Computational Science Research Center')",261.7
"('National Institute of Physics', 'UP College of Education')",668.8
"('National Institute of Physics', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",732.9
"('National Institute of Physics', 'Industrial Engineering - Mechanical Engineering Building')",1236.5
"('National Institute of Physics', 'Institute of Environmental Science and Meteorology')",541.8
"('National Institute of Physics', 'UP Child Development Center')",463.5
"('National Institute of Physics', 'Alonso Hall')",482.3
"('National Institute of Physics', 'UP Department of Geodetics Engineering')",1318.3
"('National Institute of Physics', 'University of the Philippines Center for International Studies')",820.6
"('National Institute of Physics', 'National Institute of Geological Sciences')",592.6
"('National Institute of Physics', 'UP College of Home Economics')",505.2
"('National Institute of Physics', 'UP Institute of Islamic Studies')",1880.1
"('National Institute of Physics', 'UP College of Law')",958.8
"('National Institute of Physics', 'National Institute of Molecular Biology and Biotechnology')",242.5
"('National Institute of Physics', 'UP Department of Mechanical Engineering')",1349.7
"('National Institute of Physics', 'UP Marine Science Institute')",638.0
"('National Institute of Physics', 'Institute of Mathematics')",357.8
"('National Institute of Physics', 'Alfredo V. Lagmay Hall')",752.3
