course_code,course_title,offering_unit,units,timeslot,venue,instructor
Arch 35,Utilities I: Plumbing and Sanitary Services in Buildings,Arch,3.0,S 9AM-12PM,B2-105,"MEONADA, JOSE MARI"
Arch 55,Design with Nature: Tropical Design,Arch,2.0,T 10AM-12PM,B2-105A,"CHUA, JOHANNES VINCENT"
Arch 75,Architectural Research: Basic Research Methods in Architecture,Arch,2.0,W 10AM-12PM,B2-104,"DUQUE, DUCHESS ALEKSEI"
Arch 105,Architectural Communication VII: Theory of Color,Arch,3.0,TTh 10:30AM-12PM,B2-101,"DE LEON, RUBY TERESA"
Arch 134,Building Construction IV: Building Systems and Technology,Arch,3.0,TTh 1:30-4PM,B2-106,"SANTOS, FREDERICK"
Arch 140,Utilities VI: Utilities for Building Interiors,Arch,3.0,TTh 10:30AM-12PM,B2-106A,"MANALOTO, JOHN ARVIN"
Arch 142,Architectural Design VIII: Integrative Design Project II,Arch,4.0,Th 4:30-9PM,B2-102; T 4:30-9PM lab TBA,"DEL CASTILLO, NICOLO PRECIOSO"
Arch 147,Utilities IV: Architectural Acoustics,Arch,3.0,TTh 10AM-12:30PM,B2-104,"RINEN, RICHARD MARTIN"
Arch 149,Utilities VIII: Environmental Acoustics,Arch,3.0,TTh 10:30AM-12PM,B2-102,"ABAYA, ERNESTO"
Arch 162,Planning and Urban Design III: Introduction to Urban and Regional Planning,Arch,3.0,WF 1-2:30PM,B2-104,"BARIA, RICHELLE RHEA"
Arch 171,Architectural Structures: Form-Finding in Structures I,Arch,4.0,TTh 1-4PM,B2-103,"BELGA, MARIE EDRALINE"
Arch 199.2,Architectural Design X: A Comprehensive Design Project (Design Development),Arch,4.0,TTh 4:30-9:30PM,B2-106,"BARIA, RICHELLE RHEA"
Archaeo 2,Archaeological Heritage: The Past is Not a Foreign Land,UPSA,3.0,TTh 8:30-10AM,Classroom A,"PEÑA, JESSICA CECILIA"
Archi 201,Architecture and Landscape Architecture Theories,Arch,3.0,Th 6-9PM,TBA,"NADAL, CATHE DESIREE; GINES, LEONIDO"
Archi 202,Foundations of Qualitative Research in the Designed and Built Environment,Arch,3.0,Th 6:30-9:30PM,B2-101,"BULAONG, CARMEN BETTINA"
Archi 203,Foundations of Quantitative Research in the Designed and Built Environment,Arch,3.0,Th 6-9PM,BSP Auditorium,"ABAYA, ERNESTO"
Archi 210,Writings and Precedents in Architecture and Landscape Architecture,Arch,3.0,S 1-4PM,B2-106,"ARANETA, MAUREEN ANNE"
Archi 211,Studio Topic ,Arch,4.0,M 6-9PM,B2-106A; T 6-9PM lab TBA,"GINES, LEONIDO"
Archi 231,Urban Design Principles,Arch,3.0,S 9AM-12PM,B2-106,"ARANETA, MAUREEN ANNE"
Archi 232,Environmental Issues in Urban Design,Arch,3.0,W 6-9PM,B2-102,"DE LEON, RUBY TERESA; MANALANG, JO JERICO"
Archi 233,Housing and Real Estate Development Issues in Urban Design,Arch,3.0,W 6-9PM,B2-101,"INTALAN, LAWRENCE"
Archi 241,Architectural Heritage Studies,Arch,3.0,S 9AM-12PM,B2-102,"LIWANAG, MICHAEL ANGELO"
Archi 242,Conservation Management Planning,Arch,3.0,S 6-9PM,B2-OAD,"LICO, GERARD REY"
Archi 243,Architectural Heritage Theory and Conservation Laws,Arch,3.0,S 1-4PM,B2-105A,"LIWANAG, MICHAEL ANGELO"
Archi 244,The Science of Built Heritage Conservation,Arch,3.0,T 6-9PM,TBA,"LUNA, MARKEL CESAR"
Archi 251,Structuring Architectural Form,Arch,3.0,T 6-9PM,BSP Auditorium,"ABAYA, ERNESTO"
Archi 252,Lighting and Acoustics in Architecture,Arch,3.0,W 6-9PM,TBA,"SANTOS, FREDERICK"
Archi 253,Design Visualization and Computation,Arch,3.0,M 6-9PM,B2-105A,"LOPEZ, KAREN THERESE"
Archi 254,Methods and Meanings of Building Materials and Systems,Arch,3.0,F 6-9PM,B2-105,"MANALOTO, JOHN ARVIN; ABAYA, ERNESTO"
Archi 261,"People, Climate and Architecture",Arch,3.0,M 6-9PM,B2-104A,"DEL CASTILLO, NICOLO PRECIOSO"
Archi 262,Tropical Dwellings,Arch,3.0,M 6-9PM,B2-106,"CHUA, JOHANNES VINCENT"
Archi 299,Graduate Seminar,Arch,2.0,S 4:30-6:30PM,B2-106,"ARANETA, MAUREEN ANNE"
Archi 300,Thesis,Arch,3.0,TBA,,TBA
Arkiyoloji 1,Ang Pilipinas: Arkiyoloji at Kasaysayan,UPSA,3.0,TTh 4-5:30PM,Classroom A,"BASILIA, PAULINE GRACE"
Art Stud 2,Art Around Us: Exploring Everyday Life,DAS,3.0,WF 7-8:30AM,PH 213-215,"MAGNO, ANGELO"
Art Stud 50,The Field of Art Studies,DAS,3.0,WF 8:30-10AM,PH 213-215,"MAGNO, ANGELO"
Art Stud 103,Folk Art,DAS,3.0,M 10AM-1PM,CAL 202,"LOPEZ, AUREA"
Art Stud 111,Arts of the World I,DAS,3.0,WF 1-2:30PM,CAL 202,"CANTA, MARILYN"
Art Stud 113,Arts of the World III,DAS,3.0,WF 10-11:30AM,PH 219,"LUGUE, MARK LOUIE"
Art Stud 140,Modern Art,DAS,3.0,TTh 10-11:30AM,TBA,"DATUIN, FLAUDETTE MAY"
Art Stud 141,Photography as Art,DAS,3.0,WF 2:30-4PM,CAL 203,"GUILLERMO, SOFIA"
Art Stud 156,The Arts in Latin America,DAS,3.0,TTh 4-5:30PM,CAL 207,"TONG, JOSE HENDERZON"
Art Stud 162,Dance in Asian Cultures,DAS,3.0,WF 10-11:30AM,CAL 207,"BELTRAN, MYRA VICTORIA"
Art Stud 170,Philippine Art and Society,DAS,3.0,TTh 1-2:30PM,CAL 207,"LUCENA, GERARDO"
Art Stud 171,The Arts of Philippine Living Traditions,DAS,3.0,TTh 4-5:30PM,PH 219,"GIRON, MANUEL KRISTOFFER"
Art Stud 175,Music in Philippine Culture,DAS,3.0,WF 2:30-4PM,CAL 301,"DIOQUINO, ALYSSA LIYANA"
Art Stud 179,Perspectives and Concepts in Philippine Art,DAS,3.0,TTh 1-2:30PM,TBA,"DATUIN, FLAUDETTE MAY"
Art Stud 183,The Arts in Islamic Civilizations,DAS,3.0,WF 11:30AM-1PM,CAL 203,TBA
Art Stud 190,Aesthetics and Art Theory,DAS,3.0,WF 1-2:30PM,CAL 203,"GUILLERMO, SOFIA"
Art Stud 191,Aesthetics and Theories of Art,DAS,3.0,WF 1-2:30PM,PH 219,"VELASCO, SZUSZA ANNE"
Art Stud 192,Art Criticism (Practicum),DAS,3.0,WF 2:30-4PM,PH 213-215,"ARAGO, GIANPAOLO"
Art Stud 195,Curatorship,DAS,3.0,WF 11:30AM-1PM,CAL 202,"DE LA PAZ, CECILIA"
Art Stud 196,Art Historiography,DAS,3.0,TTh 2:30-4PM,TBA,"DATUIN, FLAUDETTE MAY"
Art Stud 198,Special Problems,DAS,3.0,TTh 1-2:30PM,CAL 206,"LAUZON, ALDEN"
Art Stud 199,Research,DAS,3.0,WF 8:30-10AM,CAL 206,"LAUZON, ALDEN"
Art Stud 200,Thesis,DAS,3.0,F 4-7PM,TBA,"RAMIREZ, MA EILEEN"
Art Stud 202,Perspectives in Art Studies in the Philippines,"UPD, DAS",3.0,T 1-4PM,CAL 202,"DE LA PAZ, CECILIA"
Art Stud 203,Frameworks and Methods in Art Studies,DAS,3.0,F 9AM-12PM,TBA,"YU-RIVERA, HELEN"
Art Stud 240,Readings in Art History,DAS,3.0,F 1-4PM,TBA,"YU-RIVERA, HELEN"
Art Stud 252,Seminar on Issues in Art Studies,DAS,3.0,M 5-8PM,TBA,"DATUIN, FLAUDETTE MAY"
Art Stud 255,Art Criticism,DAS,3.0,M 1-4PM,TBA,"CORPUS, RINA ANGELA"
Art Stud 270,Philippine Art and Society,DAS,3.0,W 4-7PM,PH 213-215,"RESPICIO, NORMA"
Art Stud 272,Philippine Painting,DAS,3.0,W 4-7PM,CAL 203,"RAMIREZ, MA EILEEN"
Art Stud 277,Philippine Architecture,DAS,3.0,F 4-7PM,TBA,"TONG, JOSE HENDERZON"
Art Stud 283,Arts Market and Audience,DAS,3.0,Th 4-7PM,TBA,"ABAYA, EUFRACIO"
Art Stud 284,Contexts and Platforms of Curatorial Practice,DAS,3.0,W 1-4PM,CAL 206,"GUAZON, TESSA MARIA"
Art Stud 287,Archival Practices in Art Studies,DAS,3.0,Th 4-7PM,TBA,"RAMIREZ, MA EILEEN"
Art Stud 298,Special Problems in Philippine Art,DAS,3.0,W 4-7PM,CAL 202,"MIRANO, FLORA ELENA"
Art Stud 299,Research,DAS,3.0,T 11:30AM-2:30PM,TBA,"PINEDA, ROSELLE"
Art Stud 300,Thesis,DAS,6.0,W 5-8PM,TBA,TBA
B 210,The Producer and the Creative Process,GRADUATE,3.0,Th 4-7PM,TBA,"MERINA, DORIAN"
B 297,Special Topics,GRADUATE,3.0,W 4-7PM,TBA,"AGUIRRE, ALWIN"
B Ind/Mal 11,Elementaring Bahasa Indonesia/Malaysia II (Elementary Bahasa Indonesia/Malaysia II),Lingg,3.0,S 8-11AM,PH 428,"LEDESMA, THERESE MARIA ABIGAIL"
B Ind/Mal 12,Intermidyet na Bahasa Indonesia/Malaysia I (Intermediate Bahasa Indonesia/Malaysia I),Lingg,3.0,WF 8:30-11:30AM,CSSP Faculty Lounge,"LEDESMA, THERESE MARIA ABIGAIL"
B Ind/Mal 13,Intermidyet na Bahasa Indonesia/Malaysia II (Intermediate Bahasa Indonesia/Malaysia II),Lingg,3.0,WF 8:30-11:30AM,CSSP Faculty Lounge,"LEDESMA, THERESE MARIA ABIGAIL"
B Ind/Mal 110,Mga Babasahin sa Bahasa Indonesia/Malaysia (Readings in Bahasa Indonesia/Malaysia),Lingg,3.0,TTh 8:30-10AM,PH 400B,"ROSARIO, FRANCISCO"
B Ind/Mal 111,Advans na Komposisyon sa Bahasa Indonesia/Malaysia (Advanced Composition in Bahasa Indonesia/Malaysia),Lingg,3.0,TTh 11:30AM-1PM,PH 400B,"ROSARIO, FRANCISCO"
BA 99.1,Fundamental Accounting Theory and Practice I,"DAF, SE",3.0,WF 2:30-4PM,BA 311,"LLOREN-ALCANTARA, PAMELA ANNE"
BA 99.2,Fundamental Accounting Theory and Practice II,"DAF, DBA, SE",3.0,M 1-4PM,TBA,"JIMENEZ, CHRISTIAN ELIGIUS"
BA 101,Introduction to Business Management,"DBA, HRIM",3.0,TTh 8:30-10AM,BA 212,"GO, JOHN HUDSON"
BA 105,Operations Management,DBA,3.0,TTh 2:30-4PM,BA 307,"RELENTE, ANDREI RAYMUND"
BA 106,Fundamentals of Project Management,DBA,3.0,TTh 1-2:30PM,BA 307,"MANUEL, MANUEL"
BA 108,Special Topics in Operations Management,DBA,3.0,TTh 10-11:30AM,BA 108,"LAZO, ROLANDO"
BA 114.2,Accounting Theory and Practice II,DAF,4.5,TTh 10AM-12:15PM,BA 311,"BUENAVENTURA, ERIKA MAE"
BA 115,Management Accounting,DAF,3.0,S 9AM-12PM,BA 304,"AGUILA, JAMES ROBERT"
BA 117,Managerial Cost Accounting and Control,DAF,3.0,WF 1-2:30PM,BA 311,"LLOREN-ALCANTARA, PAMELA ANNE"
BA 118.1,Advanced Accounting I,DAF,6.0,TTh 8:30-11:30AM,BA 301,"MALLANAO, JOHN LAWRENCE; LOPEZ, NEIL JASON"
BA 118.2,Advanced Accounting II,DAF,3.0,WF 10-11:30AM,BA 208,CONCEALED
BA 119,Special Topics in Accounting,DAF,3.0,WF 5:30-7PM,BA 309,"AGUILA, JAMES ROBERT"
BA 122.1,Auditing Theory and Practice I ,DAF,3.0,TTh 1-2:30PM,BA 305,"NG, ANTHONY"
BA 123,Public Accounting Practice,DAF,6.0,WF 8:30-11:30AM,BA 212,"PLACIDO, REMVERT BRYAN"
BA 124,Fundamentals of Business Taxation,DAF,3.0,TTh 5:30-7PM,BA 307,"FIEL, EDUARDO MAURICE"
BA 126,Principles of Controllership,DAF,3.0,TTh 8:30-10AM,BA 309,"RIVERA, JOSEL RICHA ANN"
BA 128,Tax Accounting II,DAF,3.0,TTh 1-2:30PM,BA 311,"BUENAVENTURA, ERIKA MAE"
BA 129,Management Services,DAF,3.0,TTh 10-11:30AM,BA 110,CONCEALED
BA 132,Financial Institutions,DAF,3.0,WF 8:30-10AM,BA 106,"DY, TERESITA"
BA 142,Business Finance II,"DBA, DAF",3.0,TTh 10-11:30AM,BA 110,"ARATEA, JOHN LESTER"
BA 151,Human Behavior in Organizations,DBA,3.0,TTh 4-5:30PM,BA 208,"ZARCO, TIMOTHY"
BA 152,Introduction to Human Resource Management,DBA,3.0,WF 10-11:30AM,BA 307,"OCAMPO, KATRINA TALA"
